date,city,ev_sales,ev_market_share,avg_ev_price,avg_ice_price,gasoline_price,electricity_price,public_charging_points,fast_charging_points,ev_subsidy_amount,purchase_subsidy_active,gdp_per_capita,unemployment_rate,avg_ev_range_km,season,ev_sales_last_month,ev_sales_last_year_same_month
2015-01-01,Bangkok,740,0.0134,49737.42,24828.59,3.24,0.11,9,1,2348.08,1,42257.63,4.86,239,Q1,19422,17203
2015-02-01,Bangkok,87,0.0013,49262.63,24839.19,3.26,0.11,7,1,2409.96,1,42489.75,5.03,246,Q1,740,17203
2015-03-01,Bangkok,69,0.0022,49947.24,24936.16,3.29,0.11,11,1,2300.77,1,42306.74,5.08,253,Q1,87,17203
2015-04-01,Bangkok,0,0.0012,49565.08,24869.31,3.35,0.11,0,0,2587.32,1,42556.17,5.08,259,Q2,69,17203
2015-05-01,Bangkok,0,0.0,50449.82,24956.68,3.35,0.11,1,0,2489.2,1,42633.07,4.99,248,Q2,0,17203
2015-06-01,Bangkok,1229,0.0203,50657.32,24226.58,3.4,0.11,11,1,2635.53,1,42379.87,4.84,242,Q2,0,17203
2015-07-01,Bangkok,740,0.0128,49636.57,25165.43,3.45,0.11,18,2,2514.56,1,42706.93,4.79,252,Q3,1229,17203
2015-08-01,Bangkok,36,0.0,49955.53,25019.03,3.47,0.11,15,1,2567.94,1,42408.68,4.92,240,Q3,740,17203
2015-09-01,Bangkok,1213,0.0204,48963.25,24698.24,3.46,0.11,22,3,2471.15,1,42591.13,4.86,247,Q3,36,17203
2015-10-01,Bangkok,979,0.0144,49320.31,25443.34,3.43,0.12,41,4,2425.99,1,42819.78,5.11,264,Q4,1213,17203
2015-11-01,Bangkok,309,0.0038,49138.56,25185.9,3.43,0.12,31,3,2382.51,1,42488.37,4.96,248,Q4,979,17203
2015-12-01,Bangkok,1092,0.0212,49817.32,25105.46,3.47,0.12,32,5,2592.65,1,42992.27,4.85,266,Q4,309,17203
2016-01-01,Bangkok,126,0.0,50362.55,25250.35,3.46,0.12,33,5,2644.51,1,42793.15,4.92,275,Q1,1092,740
2016-02-01,Bangkok,18,0.0021,49267.09,25009.37,3.49,0.12,43,7,2910.16,1,42739.61,4.57,261,Q1,126,87
2016-03-01,Bangkok,1210,0.0202,49581.36,24997.76,3.53,0.12,50,6,2433.02,1,43010.56,4.8,252,Q1,18,69
2016-04-01,Bangkok,813,0.0152,49701.86,25054.96,3.52,0.12,54,8,2356.15,1,43210.41,4.89,258,Q2,1210,0
2016-05-01,Bangkok,905,0.0149,50035.96,25471.21,3.54,0.12,61,10,2452.71,1,43065.66,4.62,261,Q2,813,0
2016-06-01,Bangkok,1129,0.0142,48641.37,25248.38,3.51,0.12,68,6,2734.06,1,42918.7,4.8,254,Q2,905,1229
2016-07-01,Bangkok,2216,0.0329,49964.38,25049.54,3.54,0.12,73,8,2381.12,1,42887.88,4.78,272,Q3,1129,740
2016-08-01,Bangkok,680,0.0124,49198.34,25577.14,3.58,0.12,84,15,2556.59,1,43459.87,4.48,281,Q3,2216,36
2016-09-01,Bangkok,228,0.0043,50436.0,25044.17,3.57,0.12,81,10,2744.86,1,42577.58,4.6,268,Q3,680,1213
2016-10-01,Bangkok,397,0.0042,49480.12,24758.05,3.6,0.12,80,7,2597.07,1,43086.62,4.37,278,Q4,228,979
2016-11-01,Bangkok,2553,0.0412,49485.49,25186.8,3.62,0.12,100,11,2411.6,1,43345.83,4.69,263,Q4,397,309
2016-12-01,Bangkok,1620,0.0249,49739.81,24808.8,3.62,0.13,111,20,2231.85,1,42766.94,4.52,278,Q4,2553,1092
2017-01-01,Bangkok,1140,0.0193,49530.81,25063.64,3.67,0.13,119,20,2548.62,1,43136.23,4.61,275,Q1,1620,126
2017-02-01,Bangkok,2663,0.0466,48767.91,25409.93,3.71,0.13,133,12,2395.13,1,43214.8,4.27,285,Q1,1140,18
2017-03-01,Bangkok,2231,0.0359,50028.94,24935.01,3.74,0.13,148,13,2282.79,1,42837.36,4.46,270,Q1,2663,1210
2017-04-01,Bangkok,2827,0.0449,49245.03,25061.8,3.73,0.13,159,14,2690.67,1,43533.03,4.62,273,Q2,2231,813
2017-05-01,Bangkok,1395,0.0242,49528.84,25090.9,3.78,0.13,169,22,2717.67,1,43631.71,4.86,267,Q2,2827,905
2017-06-01,Bangkok,2537,0.0372,48870.85,24820.58,3.78,0.13,181,25,2213.09,1,43494.84,4.6,282,Q2,1395,1129
2017-07-01,Bangkok,3322,0.0531,49183.85,25052.92,3.79,0.13,197,23,2482.82,1,43799.6,4.26,270,Q3,2537,2216
2017-08-01,Bangkok,2480,0.0419,49536.42,24757.21,3.81,0.13,220,23,2659.07,1,43932.83,4.36,273,Q3,3322,680
2017-09-01,Bangkok,3974,0.0653,49975.63,25130.99,3.86,0.13,241,29,2596.81,1,43923.17,4.32,282,Q3,2480,228
2017-10-01,Bangkok,1753,0.0309,48155.38,25001.68,3.91,0.14,251,30,2647.23,1,43653.96,4.45,284,Q4,3974,397
2017-11-01,Bangkok,2155,0.0358,49351.56,25421.8,3.88,0.14,263,24,2554.99,1,43314.95,4.36,270,Q4,1753,2553
2017-12-01,Bangkok,3879,0.0662,49377.02,24928.42,3.88,0.14,281,28,2508.62,1,42954.23,4.4,280,Q4,2155,1620
2018-01-01,Bangkok,4557,0.0733,48789.82,24869.08,3.92,0.14,307,39,2272.72,1,44091.3,4.65,278,Q1,3879,1140
2018-02-01,Bangkok,4580,0.0692,49634.79,25054.12,3.91,0.14,341,36,2471.96,1,43709.06,4.22,276,Q1,4557,2663
2018-03-01,Bangkok,4077,0.0678,49505.28,25411.6,3.95,0.14,364,49,2728.47,1,43927.24,4.21,280,Q1,4580,2231
2018-04-01,Bangkok,3872,0.063,49979.71,24677.93,3.98,0.14,384,38,2375.71,1,43644.18,3.97,288,Q2,4077,2827
2018-05-01,Bangkok,5001,0.0819,49136.79,24882.8,3.99,0.14,417,57,2249.59,1,44012.9,4.23,288,Q2,3872,1395
2018-06-01,Bangkok,4051,0.071,48999.04,25180.42,3.98,0.14,432,41,2917.57,1,43408.75,4.29,281,Q2,5001,2537
2018-07-01,Bangkok,6329,0.1034,49335.82,24888.0,4.07,0.14,472,82,2555.67,1,43753.02,4.31,284,Q3,4051,3322
2018-08-01,Bangkok,6511,0.1055,48719.06,24961.22,4.08,0.14,513,75,2168.78,1,44084.61,4.24,293,Q3,6329,2480
2018-09-01,Bangkok,7357,0.1235,47784.84,25425.48,4.08,0.14,559,95,2624.41,1,43355.2,4.3,293,Q3,6511,3974
2018-10-01,Bangkok,7740,0.13,48667.36,25302.33,4.16,0.14,605,58,2336.29,1,43815.61,4.48,291,Q4,7357,1753
2018-11-01,Bangkok,8293,0.1354,48627.68,24986.78,4.17,0.14,658,95,2562.02,1,44665.91,4.12,278,Q4,7740,2155
2018-12-01,Bangkok,8984,0.151,48797.21,25201.49,4.15,0.14,706,58,2767.32,1,44322.12,4.25,293,Q4,8293,3879
2019-01-01,Bangkok,7964,0.1341,49743.41,25175.17,4.18,0.14,756,69,2508.36,1,44515.45,3.95,302,Q1,8984,4557
2019-02-01,Bangkok,8987,0.1511,47947.57,25369.45,4.2,0.14,799,123,2274.59,1,44151.14,4.01,290,Q1,7964,4580
2019-03-01,Bangkok,9311,0.1526,48671.39,25449.14,4.16,0.14,862,152,2459.67,1,43939.57,4.55,292,Q1,8987,4077
2019-04-01,Bangkok,10679,0.1764,48652.82,24955.4,4.17,0.14,920,126,2708.29,1,43515.88,3.84,283,Q2,9311,3872
2019-05-01,Bangkok,11330,0.1899,48572.59,25085.04,4.2,0.15,982,119,2640.35,1,44737.32,4.24,284,Q2,10679,5001
2019-06-01,Bangkok,12124,0.2046,49031.5,25060.4,4.21,0.15,1062,173,2746.96,1,44095.89,4.02,287,Q2,11330,4051
2019-07-01,Bangkok,13408,0.2295,48241.85,25529.73,4.18,0.15,1132,137,2187.71,1,44949.11,4.13,294,Q3,12124,6329
2019-08-01,Bangkok,13695,0.2284,49176.65,25171.77,4.2,0.15,1219,130,2823.29,1,44684.02,3.99,292,Q3,13408,6511
2019-09-01,Bangkok,13962,0.2384,48875.93,25741.67,4.24,0.15,1304,106,2538.4,1,44819.31,4.32,305,Q3,13695,7357
2019-10-01,Bangkok,13950,0.238,48588.05,25297.8,4.24,0.15,1380,144,2271.4,1,44327.14,4.25,290,Q4,13962,7740
2019-11-01,Bangkok,15278,0.2469,48397.72,25173.6,4.27,0.15,1466,125,2884.01,1,44580.01,4.21,293,Q4,13950,8293
2019-12-01,Bangkok,17802,0.2961,49431.22,25359.83,4.27,0.15,1583,170,2235.57,1,44994.23,3.82,297,Q4,15278,8984
2020-01-01,Bangkok,18093,0.2938,48809.33,25535.88,4.32,0.15,1687,218,2564.44,1,44755.46,4.04,290,Q1,17802,7964
2020-02-01,Bangkok,18898,0.3175,48815.75,25161.0,4.34,0.16,1792,150,2289.23,1,44885.63,3.83,311,Q1,18093,8987
2020-03-01,Bangkok,19483,0.3228,47485.16,24959.82,4.4,0.16,1911,271,2512.34,1,45097.13,3.89,313,Q1,18898,9311
2020-04-01,Bangkok,20642,0.3325,49151.69,25631.37,4.4,0.16,2029,234,2349.08,1,44504.37,3.66,293,Q2,19483,10679
2020-05-01,Bangkok,21276,0.3576,47987.21,25852.92,4.4,0.16,2164,284,2404.34,1,44702.51,3.84,299,Q2,20642,11330
2020-06-01,Bangkok,22772,0.3774,48089.63,24912.79,4.43,0.16,2293,235,2853.61,1,45185.33,3.79,305,Q2,21276,12124
2020-07-01,Bangkok,23265,0.3859,48891.8,24909.83,4.46,0.16,2420,256,2495.03,1,45484.51,3.82,307,Q3,22772,13408
2020-08-01,Bangkok,24852,0.4065,48059.57,25020.67,4.51,0.16,2581,275,2536.0,1,45079.97,4.02,309,Q3,23265,13695
2020-09-01,Bangkok,25331,0.4161,48728.72,25472.56,4.57,0.16,2723,458,2474.93,1,45074.48,4.05,300,Q3,24852,13962
2020-10-01,Bangkok,25449,0.4192,48914.23,25229.83,4.6,0.16,2874,412,2724.27,1,45136.72,3.89,304,Q4,25331,13950
2020-11-01,Bangkok,26762,0.4375,47529.25,25227.66,4.63,0.16,3026,456,2519.95,1,44904.75,4.01,296,Q4,25449,15278
2020-12-01,Bangkok,27435,0.4544,48192.12,25010.94,4.7,0.16,3178,306,2597.3,1,45453.15,3.98,320,Q4,26762,17802
2021-01-01,Bangkok,27239,0.4525,48516.63,24811.82,4.77,0.16,3348,345,2312.27,1,45632.25,3.79,319,Q1,27435,18093
2021-02-01,Bangkok,29284,0.4815,48398.85,25375.32,4.83,0.16,3524,563,2345.39,1,45226.35,3.84,305,Q1,27239,18898
2021-03-01,Bangkok,28758,0.4863,48142.86,24707.58,4.87,0.16,3695,464,2432.15,1,44556.28,3.53,318,Q1,29284,19483
2021-04-01,Bangkok,30759,0.5059,48101.14,25186.42,4.86,0.17,3875,527,2368.55,1,45336.91,3.71,312,Q2,28758,20642
2021-05-01,Bangkok,30516,0.506,47568.68,25486.66,4.89,0.17,4047,366,2709.9,1,45645.16,3.74,308,Q2,30759,21276
2021-06-01,Bangkok,32328,0.5285,48392.59,25507.37,4.9,0.17,4240,531,2560.2,1,46064.69,3.66,316,Q2,30516,22772
2021-07-01,Bangkok,31657,0.5301,48614.66,26084.5,4.92,0.17,4429,796,2505.7,1,45488.11,3.79,307,Q3,32328,23265
2021-08-01,Bangkok,31895,0.529,48348.6,25052.54,4.98,0.17,4605,823,2265.73,1,46094.78,3.67,330,Q3,31657,24852
2021-09-01,Bangkok,32591,0.5498,48089.64,25359.86,4.97,0.17,4808,448,2574.1,1,45614.63,3.58,311,Q3,31895,25331
2021-10-01,Bangkok,34888,0.5767,47789.69,25434.01,4.9,0.17,5001,482,2556.14,1,45552.53,3.77,308,Q4,32591,25449
2021-11-01,Bangkok,34552,0.5668,47813.8,24576.45,4.93,0.17,5218,547,2725.11,1,45875.82,3.58,316,Q4,34888,26762
2021-12-01,Bangkok,36320,0.6031,48140.02,25516.59,4.95,0.17,5425,580,1207.26,0,45456.65,3.6,311,Q4,34552,27435
2022-01-01,Bangkok,35767,0.5948,47904.65,25251.8,4.99,0.17,5641,742,2813.26,1,45663.2,3.77,312,Q1,36320,27239
2022-02-01,Bangkok,35690,0.5873,48832.02,25155.3,5.01,0.18,5848,1020,2495.37,1,46348.26,3.73,323,Q1,35767,29284
2022-03-01,Bangkok,36389,0.6056,48074.61,24892.0,5.05,0.17,6067,880,1245.4,0,45563.12,3.56,324,Q1,35690,28758
2022-04-01,Bangkok,37553,0.6159,48051.77,25144.25,5.1,0.18,6273,1009,1308.22,0,46022.19,3.74,320,Q2,36389,30759
2022-05-01,Bangkok,36609,0.6076,46978.13,24954.45,5.17,0.18,6493,762,1446.3,0,46176.68,3.43,341,Q2,37553,30516
2022-06-01,Bangkok,37672,0.6206,48920.47,24805.63,5.14,0.18,6728,947,1302.0,0,46088.54,3.48,327,Q2,36609,32328
2022-07-01,Bangkok,38248,0.6348,47274.83,24963.83,5.13,0.18,6938,929,1337.75,0,45486.91,3.35,333,Q3,37672,31657
2022-08-01,Bangkok,37759,0.6322,47240.83,25259.11,5.11,0.18,7164,980,1409.61,0,45977.68,3.4,326,Q3,38248,31895
2022-09-01,Bangkok,39087,0.6407,47891.99,25144.82,5.14,0.18,7386,894,1013.42,0,45834.51,3.36,334,Q3,37759,32591
2022-10-01,Bangkok,39406,0.6563,47814.5,24981.9,5.23,0.18,7625,1172,1146.88,0,46220.61,3.63,340,Q4,39087,34888
2022-11-01,Bangkok,38678,0.6507,46807.34,25329.32,5.25,0.18,7847,945,1451.66,0,45960.64,3.52,341,Q4,39406,34552
2022-12-01,Bangkok,38987,0.6498,47117.62,25042.72,5.23,0.18,8076,701,1106.73,0,46379.29,3.57,330,Q4,38678,36320
2023-01-01,Bangkok,40985,0.6767,46983.27,25448.5,5.31,0.18,8329,716,1283.75,0,46233.84,3.48,323,Q1,38987,35767
2023-02-01,Bangkok,39019,0.6447,47123.05,25021.84,5.37,0.19,8553,1477,1119.91,0,45831.06,3.39,337,Q1,40985,35690
2023-03-01,Bangkok,40680,0.6743,47662.67,25086.76,5.4,0.19,8792,1326,1082.1,0,45896.0,3.09,336,Q1,39019,36389
2023-04-01,Bangkok,38342,0.6434,48771.5,25245.68,5.44,0.19,9013,1064,1285.27,0,46517.41,3.27,331,Q2,40680,37553
2023-05-01,Bangkok,39358,0.6641,48156.53,25265.16,5.47,0.19,9246,1537,1196.25,0,46625.02,3.54,338,Q2,38342,36609
2023-06-01,Bangkok,39563,0.657,47322.39,25069.65,5.48,0.19,9480,1674,929.64,0,46227.9,2.88,337,Q2,39358,37672
2023-07-01,Bangkok,40353,0.6645,46808.75,24965.04,5.51,0.19,9714,1744,1222.3,0,46362.89,3.21,333,Q3,39563,38248
2023-08-01,Bangkok,40659,0.6763,47426.52,25388.58,5.57,0.19,9946,1320,1043.4,0,46443.49,3.26,344,Q3,40353,37759
2023-09-01,Bangkok,40034,0.6648,47241.67,25523.59,5.61,0.19,10188,1305,1118.06,0,46665.89,3.04,338,Q3,40659,39087
2023-10-01,Bangkok,41333,0.6842,46888.47,25621.47,5.63,0.19,10427,991,1375.23,0,46331.64,2.9,334,Q4,40034,39406
2023-11-01,Bangkok,39278,0.6573,47453.55,25607.7,5.61,0.19,10660,1749,1523.6,0,46450.96,3.34,341,Q4,41333,38678
2023-12-01,Bangkok,42846,0.6972,46948.29,25405.49,5.61,0.19,10914,919,1235.54,0,46538.39,3.1,350,Q4,39278,38987
2024-01-01,Bangkok,40014,0.6698,47878.91,25134.58,5.62,0.2,11145,1744,1349.41,0,46489.96,2.99,352,Q1,42846,40985
2024-02-01,Bangkok,41173,0.6819,47553.12,25409.27,5.71,0.2,11395,2028,1418.34,0,47298.94,3.3,346,Q1,40014,39019
2024-03-01,Bangkok,41228,0.6892,47144.81,25096.57,5.69,0.19,11623,1642,1166.81,0,46718.28,3.21,348,Q1,41173,40680
2024-04-01,Bangkok,41580,0.6809,47366.29,25202.89,5.76,0.2,11881,1873,1044.18,0,46994.36,3.2,343,Q2,41228,38342
2024-05-01,Bangkok,41541,0.6869,47488.96,25289.14,5.73,0.2,12125,1627,1236.11,0,47666.16,3.22,329,Q2,41580,39358
2024-06-01,Bangkok,42408,0.6926,47511.59,25240.96,5.71,0.2,12366,1979,1239.1,0,46507.66,3.22,356,Q2,41541,39563
2024-07-01,Bangkok,40743,0.6786,47877.41,24850.04,5.7,0.2,12605,2113,1459.04,0,46850.09,3.13,352,Q3,42408,40353
2024-08-01,Bangkok,39699,0.6729,47756.29,25121.94,5.8,0.2,12844,1772,1479.2,0,47578.13,3.33,353,Q3,40743,40659
2024-09-01,Bangkok,41904,0.6995,47756.2,25624.77,5.8,0.2,13092,1725,1028.75,0,46996.21,2.96,332,Q3,39699,40034
2024-10-01,Bangkok,41859,0.6907,47390.41,24985.24,5.87,0.2,13338,1225,1372.11,0,47005.2,3.23,332,Q4,41904,41333
2024-11-01,Bangkok,41179,0.6961,46462.76,25136.67,5.92,0.2,13577,2363,1130.09,0,46660.22,3.11,344,Q4,41859,39278
2024-12-01,Bangkok,39511,0.6644,47911.13,25795.88,5.92,0.2,13811,1948,1259.3,0,47008.76,3.07,350,Q4,41179,42846
2015-01-01,Chiang Mai,491,0.0294,49864.44,24993.59,3.47,0.11,6,1,2537.06,1,11519.13,5.11,251,Q1,3892,3618
2015-02-01,Chiang Mai,434,0.0335,49515.41,24669.38,3.51,0.11,15,3,2257.73,1,11853.84,4.87,244,Q1,491,3618
2015-03-01,Chiang Mai,411,0.0532,49980.84,25133.64,3.55,0.11,2,0,2487.6,1,11267.21,4.78,251,Q1,434,3618
2015-04-01,Chiang Mai,822,0.0641,49407.81,24794.27,3.57,0.12,7,1,2403.11,1,11287.65,4.88,245,Q2,411,3618
